word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
shamble,,蹣跚而行,,,,,,5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
amplify,v.,放大、詳述,increase (sth) in size or strength,,,,,1,1,Mason 2000 PDF page 6 / 字根 ampl 大 / 提示 ample 充足的、豐富的
ancestry,,家系,,,,,,1,1,Mason 2000 PDF page 6 / 字根 ances 原始的 / 提示 ancestor 祖先、祖宗
anguish,n.,極大的痛苦,severe physical or mental pain,,,,,5,2,Mason 2000 PDF page 6 / 字根 ang 痛苦 / 提示 angry 生氣的、發怒的
angular,adj.,有角的、有尖角的、瘦骨嶙峋的,having angles or sharp corners,,,,,5,2,Mason 2000 PDF page 6 / 字根 angl 角 / 提示 angle 角、角度
rectangle,n.,長方形,"four-sided geometricfigure with four right angles, esp one with unequal adjacent sides",,,,,1,1,Mason 2000 PDF page 6 / 字根 angl 角 / 提示 angle 角、角度
animadvert,v.,批評、非難,(fml ) make (esp critical) remarks about sb/sth,Many travelers animadvert against their own towns and cities. 很多旅行者批評自己的城市,,,,3,3,Mason 2000 PDF page 6 / 字根 anim 生命、精神 / 提示 animal 動物
animate,adj.,使有生命、激勵、鼓舞,living; having life,The writer's humor animates the novel.,,,,1,1,Mason 2000 PDF page 6 / 字根 anim 生命、精神 / 提示 animal 動物
animated,adj.,熱烈的；活生生的、栩栩如生的,lively,animated discussion,,,,1,1,Mason 2000 PDF page 6 / 字根 anim 生命、精神 / 提示 animal 動物
animation,n.,生氣、熱烈、動畫,liveliness; vivacity,,,,,2,1,Mason 2000 PDF page 7 / 字根 anim 生命、精神 / 提示 animal 動物
animosity,n.,憎惡、仇恨,(between A and B) (instance of) strong dislike or of hostility,He no longer felt any animosity toward her. 他不再對她感到憎恨,antipathy;hostility;friction rancor;resentment,,animo(=animal動物) + sity(=city城市) → 動物痛恨城市,3,3,Mason 2000 PDF page 7 / 字根 anim 生命、精神 / 提示 animal 動物
animus,n.,敵意、憎恨,animosity shown in speech or action,the author's animus toward her 作者對她的敵意 // The court found him guilty of animus deserendi. 法庭判他意圖遺棄。,,,,1,1,Mason 2000 PDF page 7 / 字根 anim 生命、精神 / 提示 animal 動物
pusillanimous,adj.,膽小的,lacking courage and resolution : marked by contemptible timidity,"With the tough issues facing this city, the last thing we need is another pusillanimous mayor.",timid;cowardly;faint-hearted;spineless;craven;gutless,,音讀pussy(小貓) → 膽小的,2,2,Mason 2000 PDF page 7 / 字根 anim 生命、精神 / 提示 animal 動物
unanimous,adj.,全體一致的,(in sth) all agreeing on a decision or an opinion,It turned out that she was elected by a unanimous vote. 結果她以全票當選。,,,uni(一個) + anim(生命、精神),4,4,Mason 2000 PDF page 7 / 字根 anim 生命、精神 / 提示 animal 動物
perennial,adj.,終年的、永久的,lasting for a long time,perennial plant 多年生植物 (指壽命超過兩年的植物),,,per(完全) + enn(年),3,3,"Mason 2000 PDF page 7 / 字根 ann, enn 年 / 提示 annual 一年的、年度的"
misanthrope,,憤世嫉俗者,a person who hates or distrusts mankind,,,,mis(恨) + anthrop(人),1,1,Mason 2000 PDF page 7 / 字根 anthrop 人 / 提示 anthropology 人類學
philanthropic,adj.,博愛的、仁慈的、慈善的,of or inspired by philanthropy,,,,phil(愛) + anthrop(人),1,1,Mason 2000 PDF page 7 / 字根 anthrop 人 / 提示 anthropology 人類學
antecedent,adj.,在先前的；前身的 先例、祖先,preceding in time or order; previous or preexisting; n. thing or circumstance that is or comes before another,"We must accept that nothing is or can be unhinged (脫鉤) from causal (因果) sequence: every event has its antecedent cause, however murky (不清楚的；隱晦的). - Patheos (blog)",,,,3,3,"Mason 2000 PDF page 7 / 字根 ante, anti 先前 / 提示 antique 古代的、古董"
antedate,v.,先於、早於,put an earlier date on than the one at the time of writing,,,,,1,1,"Mason 2000 PDF page 7 / 字根 ante, anti 先前 / 提示 antique 古代的、古董"
antiquated,,過時的、陳舊的、老式的,,antiquated opinions about politics 對政治有過時老式的意見,archaic;dated;medieval;obsolete;outmoded,,,4,4,"Mason 2000 PDF page 7 / 字根 ante, anti 先前 / 提示 antique 古代的、古董"
antique,,古代的、古董的、古董,,,,,,1,1,"Mason 2000 PDF page 7 / 字根 ante, anti 先前 / 提示 antique 古代的、古董"
adaptive,,適應的,,Webbed feet is an adaptive trait in aquatic animals. 適應性的特徵,,,,4,4,"Mason 2000 PDF page 7 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
apt,adj.,適合的、易於…的、有…傾向的,suitable; appropriate,He is apt to be impulsive. 他易於衝動 // an apt remark 一個得體的言辭 // an apt tool 一個合適的工具,,,,4,4,"Mason 2000 PDF page 7 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
aptitude,,適宜、才能、資質,,aptitude test 性向測驗,,,,2,1,"Mason 2000 PDF page 7 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
adept,adj.,熟練的、內行的,thoroughly proficient : EXPERT,"Pyongyang has grown adept over the years at evading sanctions 規避制裁 imposed by the U.S. and the United Nations, using an array of tactics to gain revenue. — Samuel Rubenfeld, WSJ",proficient;versed;veteran;virtuoso,,,4,4,"Mason 2000 PDF page 7 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
deft,adj.,靈巧的,"skillful and quick, esp with the hands",The photographer is known for her deft use of lighting.,,,,5,5,"Mason 2000 PDF page 7 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
inept,adj.,無能的、不恰當的,(at sth/doing sth) completely unskillful (at sth),the inept handling of the threat 對威脅的拙劣處理 // inept at sports 不擅長運動,,,,4,4,"Mason 2000 PDF page 8 / 字根 apt, ept, eft 能力 / 提示 adept 熟練的、內行的"
aquarius,,水瓶座,,,,,,5,2,Mason 2000 PDF page 8 / 字根 aqua 水 / 提示 aquarium 魚缸、水族館
aqueous,,水的,,,,,,1,1,Mason 2000 PDF page 8 / 字根 aqua 水 / 提示 aquarium 魚缸、水族館
arbitrary,adj.,專橫的、不理智的；任意的、無理由的,"based on personal opinion or impulse, not on reason",This is an arbitrary decision. 這是個武斷的決定 She married an artist with an arbitrary character. 她嫁給一個性格反覆無常 的藝術家 Dictators are arbitrary rulers. 獨裁者即獨斷專橫的統治者,,,,5,5,Mason 2000 PDF page 8 / 字根 arbit 判斷、裁決 / 提示 arbitrary 專橫的、不理智的
arbitrage,n.,n. 套利、套匯；仲裁,,He made a lot of money from arbitrage. 他在套匯上賺了很多錢,,,,5,2,Mason 2000 PDF page 8 / 字根 arbit 判斷、裁決 / 提示 arbitrary 專橫的、不理智的
arbitrate,v.,仲裁、公斷,(between A and B) make a judgement about or settle (a dispute) between two parties (usu when asked by them to do so),to arbitrate in disputes,,,,5,2,Mason 2000 PDF page 8 / 字根 arbit 判斷、裁決 / 提示 arbitrary 專橫的、不理智的
arboreal,adj.,樹木的,of or living in trees,,,,,5,2,Mason 2000 PDF page 8 / 字根 arbor 樹 / 提示 arboreal 樹木的
arboretum,n.,植物園,place where trees are grown for scientific study or for display,,,,,5,2,Mason 2000 PDF page 8 / 字根 arbor 樹 / 提示 arboreal 樹木的
anarchy,n.,無政府、政治混亂,absence of government or control in society; lawlessness,Anarchy refers to the state of a society being freely constituted without authorities or a governing body. - wikipedia,,,an(不) + archy(統治),1,1,"Mason 2000 PDF page 8 / 字根 arch, archy 統治 / 提示 hierarchy 階層、等級制度"
hierarchy,n.,階層、等級制度,system with grades of authority or status from the lowest to the highest,He was at the bottom of the corporate hierarchy. 他位於公司階層等第的最下級,,,,4,4,"Mason 2000 PDF page 8 / 字根 arch, archy 統治 / 提示 hierarchy 階層、等級制度"
monarch,n.,君主、帝王,"supreme ruler; king, queen, emperor or empress",,,,mon(單個) + arch(統治),1,1,"Mason 2000 PDF page 8 / 字根 arch, archy 統治 / 提示 hierarchy 階層、等級制度"
monarchy,,君主制,,,,,,1,1,"Mason 2000 PDF page 8 / 字根 arch, archy 統治 / 提示 hierarchy 階層、等級制度"
patriarchal,,家長的、父權制的,,,,,patri(父親) + arch(統治),1,1,"Mason 2000 PDF page 8 / 字根 arch, archy 統治 / 提示 hierarchy 階層、等級制度"
ardent,adj.,熱烈的、激烈的,full of ardour; enthusiastic,,,,,5,2,"Mason 2000 PDF page 8 / 字根 ard, ars 熱 / 提示 arson 縱火、放火"
arson,n.,縱火、放火,"criminal and deliberate act of setting fire to a house or other building, either from malice or in order to claim insurance money",,,,,5,2,"Mason 2000 PDF page 8 / 字根 ard, ars 熱 / 提示 arson 縱火、放火"
arsenal,n.,軍械庫,place where weapons and ammunition are made or stored,,,,,5,2,"Mason 2000 PDF page 8 / 字根 ard, ars 熱 / 提示 arson 縱火、放火"
armada,n.,艦隊,large fleet of ships,,,,,2,1,Mason 2000 PDF page 8 / 字根 arm 武裝、武器 / 提示 arm 武裝、武器
armistice,n.,休戰、停戰,agreement during a war to stop fighting for a certain time; truce,,,,arm(武器) + i + st(佔、停止) + ice,5,2,Mason 2000 PDF page 8 / 字根 arm 武裝、武器 / 提示 arm 武裝、武器
artifice,n.,奸計、詭計,clever or artful skill : INGENUITY; deception,The use of mirrors in a room is an artifice to make the room look larger.,,,arti(技巧) + fic(做) + e,2,2,Mason 2000 PDF page 8 / 字根 art 技巧、藝術 / 提示 art 技巧、藝術
articulate,adj.,清楚表達的、口齒伶俐的,able to express one's ideas clearly in words,Articulate speech is essential for a teacher. 對教師來說，表達清晰是必要的,,,,5,5,"Mason 2000 PDF page 9 / 字根 articul, artic: speak distinctly 清楚地說 / 提示 article 文章、論文"
asperity,n.,嚴酷、粗魯,"harshness or severity, esp of manner",He asked with some asperity just what they were implying. 他嚴厲地質問他們暗喻著什麼,,,,2,2,Mason 2000 PDF page 9 / 字根 asper 粗暴 / 提示 asperity 嚴酷、粗魯
exasperate,v.,激怒、使惱怒,irritate or annoy greatly,It exasperated me that they never kept their promises. 他們從不遵守諾言令我惱火 // European officials are exasperated with Mr. Trump’s twitter threats. 川普推特威脅課歐洲關稅,,,,4,4,Mason 2000 PDF page 9 / 字根 asper 粗暴 / 提示 asperity 嚴酷、粗魯
asterisk,,星號(*),,,,,,5,2,"Mason 2000 PDF page 9 / 字根 aster, astr 星星 / 提示 astronomy 天文學"
asteroid,n.,小行星,"any of many small planets revolving round the sun, esp between the orbits of Mars and Jupiter","Asteroids are minor planets, especially of the inner Solar System.",,,,3,3,"Mason 2000 PDF page 9 / 字根 aster, astr 星星 / 提示 astronomy 天文學"
astronomical,,天文學的、龐大的,,,,,,2,2,"Mason 2000 PDF page 9 / 字根 aster, astr 星星 / 提示 astronomy 天文學"
augment,v.,增加,make (sth) larger in number or size; increase,He augmented his summer income by painting houses.,,,,5,5,"Mason 2000 PDF page 9 / 字根 auc, aug, aut, aux 增加 / 提示 auction 拍賣"
august,,威嚴的、高貴的、備受尊敬的,"majestic, venerable",She was in august company.,,,,1,1,"Mason 2000 PDF page 9 / 字根 auc, aug, aut, aux 增加 / 提示 auction 拍賣"
authentic,adj.,可信的、真實的、可靠的,known to be true or genuine,authentic 15th-century furniture,,,,4,4,"Mason 2000 PDF page 9 / 字根 auc, aug, aut, aux 增加 / 提示 auction 拍賣"
authoritative,adj.,權威的、官方的、專斷的,having authority; that can be trusted; reliable,the authoritative study of mollusks 對軟體動物的權威研究,,,,5,5,"Mason 2000 PDF page 9 / 字根 auc, aug, aut, aux 增加 / 提示 auction 拍賣"
auxiliary,adj.,輔助的、協助的,giving help or support; additional,the ship has an auxiliary power source,,,促進增加的：輔助的,3,3,"Mason 2000 PDF page 9 / 字根 auc, aug, aut, aux 增加 / 提示 auction 拍賣"
audacious,adj.,大膽的、無畏的、愚勇的,showing a willingness to take risks; daring; fearless,an audacious 大膽無畏的 mountain climber,daredevil,,,5,5,Mason 2000 PDF page 9 / 字根 aud 大膽 / 提示 audacious 大膽的
avid,adj.,熱切的、狂熱的；渴望的,eager; greedy,"McCain was an avid supporter of Arizona sports teams and often seen at sporting events. — Kaitlyn Schallhorn, Fox News",,,,3,3,"Mason 2000 PDF page 9 / 字根 avi, avis 鳥 / 提示 aviation 航空、飛行"
banish,v.,放逐、驅逐；驅逐出境,"sb send sb away, esp out of the country, as a punishment",banish unused files to the cloud or deleting temporary files,,,,3,3,Mason 2000 PDF page 9 / 字根 ban 禁止 / 提示 ban 禁止
barrage,n.,彈幕；如彈幕般噴發的(a barrage of),"a heavy and continuous artillery fire, a rapid and overwhelming delivery of something (like questions or criticism), or a flood of words or information.",He faced a barrage of questions from the press about the controversial decision. 因有爭議的決定，他面臨媒體一連串的問題,,,,1,1,Mason 2000 PDF page 9 / 字根 bar 棒子、障礙、律師 / 提示 barrier 障礙物、關卡
barricade,n.,路障、街壘,barrier hastily built as a defence or an obstacle,,,,,1,1,Mason 2000 PDF page 9 / 字根 bar 棒子、障礙、律師 / 提示 barrier 障礙物、關卡
barrister,n.,律師,lawyer who has the right to speak and argue as an advocate in higher lawcourts,,,,,2,1,Mason 2000 PDF page 10 / 字根 bar 棒子、障礙、律師 / 提示 barrier 障礙物、關卡
embargo,n.,禁運令、封港令,"(on sth) official order that forbids sth, esp trade, the movement of ships, etc",,,,em + bar(阻攔) + go(去),2,1,Mason 2000 PDF page 10 / 字根 bar 棒子、障礙、律師 / 提示 barrier 障礙物、關卡
base,adj.,n. 基礎；a. 卑賤的；低劣的,lacking or indicating the lack of higher qualities of mind or spirit : IGNOBLE,seemed a base betrayal of idealism — L. M. Sears 對理想主義低劣的背叛,contemptible;despicable;detestable,a. baseless 無事實根據的,,3,3,Mason 2000 PDF page 10 / 字根 base 基礎 / 提示 abase 降低自己、使卑下
debase,v.,貶低、貶損,"lower the quality, status or value of",,,,,1,1,Mason 2000 PDF page 10 / 字根 base 基礎 / 提示 abase 降低自己、使卑下
baton,n.,指揮棒、警棍,= truncheon,,,,,5,2,Mason 2000 PDF page 10 / 字根 bat 打 / 提示 combat 戰鬥
battalion,n.,軍營、軍隊,army unit composed of several companies and forming part of a regiment or brigade,,,,,5,2,Mason 2000 PDF page 10 / 字根 bat 打 / 提示 combat 戰鬥
combative,adj.,好鬥的,eager or ready to fight or argue,,,,,2,1,Mason 2000 PDF page 10 / 字根 bat 打 / 提示 combat 戰鬥
lambaste,v.,痛打；痛罵,"to assault violently : BEAT, WHIP; to attack verbally : CENSURE",Auditors lambaste Utah's environmental and safety oversight (疏失；監督) of oil and gas wells,,,,2,2,Mason 2000 PDF page 10 / 字根 bat 打 / 提示 combat 戰鬥
abate,v.,減輕、減少,make or become less,We are waiting for the storm to abate.,dwindle;ease;ebb;lessen,,,4,4,Mason 2000 PDF page 10 / 字根 bate 減少、減弱 / 提示 abate 減輕、減少
